Symbol;Name;Shares;Share cost (USD);Share cost (EUR)
AMC;AMC Entertainment Holdings, Inc;36.58195;38.5;
GME;GameStop Corporation;206.12049;31.98432253;
MVIS;Microvision, Inc.;402.67858;7.930841878;
DIS;Walt Disney Company (The);3.5;144.99;
NVDA;NVIDIA Corporation;0.2931;85.28301;
ARM;Arm Holdings plc;0.16926;147.7;
AMD;Advanced Micro Devices, Inc.;0.1191;209.9;
BRK-B;Berkshire Hathaway Inc. New;1.51303;363.51;
IFX.DE;INFINEON TECH.AG NA O.N.;17.523;;39.23
0P0001HH0U.F;Mediolanum Best Brands Chinese ;1139.039;;4.98
IE000XZSV718.SG;SPDR S&P 500 UCITS ETF (Acc);409;;12.4
IE00BK5BQT80.SG;Vanguard FTSE All-World UCITS E;109;;120.78
IE00BFMXXD54.SG;Vanguard S&P 500 UCITS ETF USD;38;;94.17
BTC-EUR;Bitcoin EUR;0.01984724;;28296.58
ETH-USD;Ethereum USD;0.007;3580.5374;
ETH-EUR;Ethereum EUR;0.03480943;;2181.61
DOGE-EUR;Dogecoin EUR;959.39;;0.07953
BNB-EUR;BNB EUR;0.0945;;337.54
ADA-USD;Cardano USD;121.73515;1.13328;
ADA-EUR;Cardano EUR;23.5;;1.1384
SHIB-USD;Shiba Inu USD;3432927.02;;0.00000625
SHIB-EUR;Shiba Inu EUR;1000000;0.00002748;
SOL-USD;Solana USD;0.1868;;133.8621
